zipcode,county_fips,county,sqmi,completed_trips,unaccepted_requests,total_requests,Uber_completed_trips,Uber_unaccepted_requests,Uber_total_requests,Uber_share_completed,Uber_perfect,Lyft_completed_trips,Lyft_unaccepted_requests,Lyft_total_requests,Lyft_share_completed,Lyft_perfect
95412,97,Sonoma,90.32097249,0,0,0,0,0,0,0,0,0,0,0,0,0
95421,97,Sonoma,143.3876274,5,2,7,1,2,3,0.333333333,0,4,0,4,1,1
95425,97,Sonoma,191.8072502,288,16,304,170,16,186,0.913978495,0,118,0,118,1,1
95430,97,Sonoma,0.23758065,2,0,2,2,0,2,1,1,0,0,0,0,0
95431,97,Sonoma,0.12042509,10,0,10,5,0,5,1,1,5,0,5,1,1
95439,97,Sonoma,2.666841329,1487,14,1501,817,14,831,0.983152828,0,670,0,670,1,1
95471,97,Sonoma,3.548874087,39,1,40,12,1,13,0.923076923,0,27,0,27,1,1
95441,97,Sonoma,157.1670252,2928,92,3020,1774,92,1866,0.950696677,0,1154,0,1154,1,1
95442,97,Sonoma,24.97798632,7366,225,7591,5331,225,5556,0.95950324,0,2035,0,2035,1,1
95444,97,Sonoma,0.313512264,604,27,631,303,27,330,0.918181818,0,301,0,301,1,1
95448,97,Sonoma,184.8387847,41918,1095,43013,25295,1095,26390,0.95850701,0,16623,0,16623,1,1
94923,97,Sonoma,19.29969187,51,2,53,23,2,25,0.92,0,28,0,28,1,1
94928,97,Sonoma,7.745950511,129108,1578,130686,70692,1578,72270,0.978165214,0,58416,0,58416,1,1
94922,97,Sonoma,4.358803453,46,4,50,21,4,25,0.84,0,25,0,25,1,1
94972,97,Sonoma,4.561199597,0,0,0,0,0,0,0,0,0,0,0,0,0
95450,97,Sonoma,37.37846589,3,0,3,1,0,1,1,1,2,0,2,1,1
95462,97,Sonoma,3.615796349,73,5,78,25,5,30,0.833333333,0,48,0,48,1,1
95476,97,Sonoma,107.8369597,78326,2207,80533,57917,2207,60124,0.963292529,0,20409,0,20409,1,1
95486,97,Sonoma,0.019368911,2,0,2,1,0,1,1,1,1,0,1,1,1
94931,97,Sonoma,7.735226084,28992,502,29494,15558,502,16060,0.968742217,0,13434,0,13434,1,1
94951,97,Sonoma,12.85475998,6406,142,6548,3459,142,3601,0.960566509,0,2947,0,2947,1,1
94952,97,Sonoma,198.5175707,88694,2010,90704,53727,2010,55737,0.963937779,0,34967,0,34967,1,1
94954,97,Sonoma,62.17735358,69350,968,70318,40538,968,41506,0.976678071,0,28812,0,28812,1,1
95419,97,Sonoma,0.064785562,0,0,0,0,0,0,0,0,0,0,0,0,0
95437,45,Mendocino,177.400468,134,11,145,133,11,144,0.923611111,0,1,0,1,1,1
95587,45,Mendocino,19.14172665,0,0,0,0,0,0,0,0,0,0,0,0,0
95429,45,Mendocino,25.41457814,0,0,0,0,0,0,0,0,0,0,0,0,0
95463,45,Mendocino,7.230297704,0,0,0,0,0,0,0,0,0,0,0,0,0
95417,45,Mendocino,23.99915843,0,0,0,0,0,0,0,0,0,0,0,0,0
95469,45,Mendocino,184.5845556,2,2,4,1,2,3,0.333333333,0,1,0,1,1,1
95454,45,Mendocino,306.5563868,0,0,0,0,0,0,0,0,0,0,0,0,0
95466,45,Mendocino,102.801293,1,0,1,0,0,0,0,0,1,0,1,1,1
95415,45,Mendocino,55.29201709,2,0,2,0,0,0,0,0,2,0,2,1,1
95449,45,Mendocino,138.5239473,33,1,34,15,1,16,0.9375,0,18,0,18,1,1
95585,45,Mendocino,58.63661896,0,0,0,0,0,0,0,0,0,0,0,0,0
95410,45,Mendocino,30.0237392,0,0,0,0,0,0,0,0,0,0,0,0,0
95420,45,Mendocino,7.280271927,1,0,1,1,0,1,1,1,0,0,0,0,0
95427,45,Mendocino,56.37237067,0,0,0,0,0,0,0,0,0,0,0,0,0
95428,45,Mendocino,274.6699205,0,0,0,0,0,0,0,0,0,0,0,0,0
95432,45,Mendocino,72.0181527,0,0,0,0,0,0,0,0,0,0,0,0,0
95456,45,Mendocino,11.33097205,4,12,16,3,12,15,0.2,0,1,0,1,1,1
95488,45,Mendocino,61.34137957,0,0,0,0,0,0,0,0,0,0,0,0,0
95445,45,Mendocino,89.19433392,0,0,0,0,0,0,0,0,0,0,0,0,0
95459,45,Mendocino,59.33713106,0,0,0,0,0,0,0,0,0,0,0,0,0
95460,45,Mendocino,34.58011365,17,8,25,17,8,25,0.68,0,0,0,0,0,0
95468,45,Mendocino,60.69669194,0,0,0,0,0,0,0,0,0,0,0,0,0
95470,45,Mendocino,69.56294737,84,5,89,74,5,79,0.936708861,0,10,0,10,1,1
95482,45,Mendocino,294.1575199,2113,50,2163,1103,50,1153,0.956634866,0,1010,0,1010,1,1
95490,45,Mendocino,430.1207543,9,1,10,6,1,7,0.857142857,0,3,0,3,1,1
95494,45,Mendocino,124.652322,0,0,0,0,0,0,0,0,0,0,0,0,0
95528,23,Humboldt,87.88234338,0,0,0,0,0,0,0,0,0,0,0,0,0
95542,23,Humboldt,219.5353315,1,0,1,1,0,1,1,1,0,0,0,0,0
95519,23,Humboldt,53.76725927,6357,270,6627,5439,270,5709,0.952706253,0,918,0,918,1,1
95550,23,Humboldt,135.7491713,0,0,0,0,0,0,0,0,0,0,0,0,0
95562,23,Humboldt,16.58382536,5,1,6,5,1,6,0.833333333,0,0,0,0,0,0
95526,23,Humboldt,126.1645588,0,0,0,0,0,0,0,0,0,0,0,0,0
95570,23,Humboldt,52.38757967,185,13,198,153,13,166,0.921686747,0,32,0,32,1,1
95540,23,Humboldt,34.07411036,200,38,238,167,38,205,0.814634146,0,33,0,33,1,1
95524,23,Humboldt,8.124864945,545,24,569,485,24,509,0.952848723,0,60,0,60,1,1
95560,23,Humboldt,16.69007232,0,0,0,0,0,0,0,0,0,0,0,0,0
95521,23,Humboldt,60.37836457,33789,1042,34831,29201,1042,30243,0.965545746,0,4588,0,4588,1,1
95569,23,Humboldt,54.80680975,0,0,0,0,0,0,0,0,0,0,0,0,0
95589,23,Humboldt,152.7951181,0,0,0,0,0,0,0,0,0,0,0,0,0
95503,23,Humboldt,83.74433934,13171,403,13574,11635,403,12038,0.966522678,0,1536,0,1536,1,1
95501,23,Humboldt,7.336389838,30784,1061,31845,26841,1061,27902,0.961974052,0,3943,0,3943,1,1
95511,23,Humboldt,41.26463278,0,0,0,0,0,0,0,0,0,0,0,0,0
95514,23,Humboldt,102.8555499,0,0,0,0,0,0,0,0,0,0,0,0,0
95525,23,Humboldt,92.71648342,717,54,771,622,54,676,0.920118343,0,95,0,95,1,1
95536,23,Humboldt,162.7739633,13,2,15,12,2,14,0.857142857,0,1,0,1,1,1
95537,23,Humboldt,0.298290497,72,2,74,62,2,64,0.96875,0,10,0,10,1,1
95545,23,Humboldt,135.967063,0,0,0,0,0,0,0,0,0,0,0,0,0
95546,23,Humboldt,87.47426805,0,0,0,0,0,0,0,0,0,0,0,0,0
95547,23,Humboldt,10.39399205,4,0,4,4,0,4,1,1,0,0,0,0,0
95559,23,Humboldt,18.4004632,0,0,0,0,0,0,0,0,0,0,0,0,0
95571,23,Humboldt,6.578855182,0,0,0,0,0,0,0,0,0,0,0,0,0
95573,23,Humboldt,119.9864959,0,0,0,0,0,0,0,0,0,0,0,0,0
95549,23,Humboldt,138.7598955,51,6,57,46,6,52,0.884615385,0,5,0,5,1,1
95551,23,Humboldt,42.39212387,294,34,328,262,34,296,0.885135135,0,32,0,32,1,1
95553,23,Humboldt,70.15893994,0,0,0,0,0,0,0,0,0,0,0,0,0
95554,23,Humboldt,32.66681736,0,0,0,0,0,0,0,0,0,0,0,0,0
95555,23,Humboldt,111.2526549,1,0,1,1,0,1,1,1,0,0,0,0,0
95556,23,Humboldt,167.8429624,0,0,0,0,0,0,0,0,0,0,0,0,0
95558,23,Humboldt,168.4461874,0,0,0,0,0,0,0,0,0,0,0,0,0
95564,23,Humboldt,3.35569502,455,14,469,417,14,431,0.967517401,0,38,0,38,1,1
95565,23,Humboldt,33.68586031,2,0,2,1,0,1,1,1,1,0,1,1,1
95601,5,Amador,2.062719723,6,0,6,3,0,3,1,1,3,0,3,1,1
95685,5,Amador,39.97772202,284,7,291,172,7,179,0.960893855,0,112,0,112,1,1
95640,5,Amador,131.4006622,112,8,120,78,8,86,0.906976744,0,34,0,34,1,1
95689,5,Amador,25.26445276,0,0,0,0,0,0,0,0,0,0,0,0,0
95642,5,Amador,66.47756072,485,10,495,360,10,370,0.972972973,0,125,0,125,1,1
95665,5,Amador,20.25995009,43,1,44,35,1,36,0.972222222,0,8,0,8,1,1
95666,5,Amador,83.9751234,1,0,1,1,0,1,1,1,0,0,0,0,0
95669,5,Amador,75.72050509,138,8,146,89,8,97,0.917525773,0,49,0,49,1,1
95675,5,Amador,0.202480314,2,0,2,1,0,1,1,1,1,0,1,1,1
95699,5,Amador,3.491249984,5,0,5,2,0,2,1,1,3,0,3,1,1
95629,5,Amador,57.02890783,0,0,0,0,0,0,0,0,0,0,0,0,0
95619,17,El Dorado,5.936059847,1225,64,1289,538,64,602,0.893687708,0,687,0,687,1,1
95726,17,El Dorado,142.9549503,346,2,348,62,2,64,0.96875,0,284,0,284,1,1
95762,17,El Dorado,41.58782081,46660,953,47613,24644,953,25597,0.962769075,0,22016,0,22016,1,1
95684,17,El Dorado,159.8096083,9,4,13,7,4,11,0.636363636,0,2,0,2,1,1
96150,17,El Dorado,163.1756919,148237,2425,150662,103659,2425,106084,0.977140756,0,44578,0,44578,1,1
95636,17,El Dorado,11.46871815,0,0,0,0,0,0,0,0,0,0,0,0,0
95709,17,El Dorado,23.7946252,384,15,399,117,15,132,0.886363636,0,267,0,267,1,1
95651,17,El Dorado,13.36600656,69,8,77,38,8,46,0.826086957,0,31,0,31,1,1
95682,17,El Dorado,89.88299378,17101,608,17709,9263,608,9871,0.93840543,0,7838,0,7838,1,1
95614,17,El Dorado,31.75556541,129,17,146,79,17,96,0.822916667,0,50,0,50,1,1
95633,17,El Dorado,39.45984023,18,7,25,8,7,15,0.533333333,0,10,0,10,1,1
95635,17,El Dorado,29.54844083,33,15,48,28,15,43,0.651162791,0,5,0,5,1,1
95672,17,El Dorado,21.74511023,1600,57,1657,942,57,999,0.942942943,0,658,0,658,1,1
95664,17,El Dorado,36.74440693,51,7,58,31,7,38,0.815789474,0,20,0,20,1,1
95667,17,El Dorado,169.0806464,14609,841,15450,8227,841,9068,0.907256286,0,6382,0,6382,1,1
95720,17,El Dorado,155.8013492,5,2,7,3,2,5,0.6,0,2,0,2,1,1
95721,17,El Dorado,4.521001915,128,6,134,96,6,102,0.941176471,0,32,0,32,1,1
95735,17,El Dorado,43.77485794,14,1,15,11,1,12,0.916666667,0,3,0,3,1,1
95634,17,El Dorado,118.6116665,14,1,15,7,1,8,0.875,0,7,0,7,1,1
95623,17,El Dorado,44.65997219,632,50,682,389,50,439,0.886104784,0,243,0,243,1,1
96142,17,El Dorado,15.98599764,365,29,394,251,29,280,0.896428571,0,114,0,114,1,1
96155,17,El Dorado,37.73958865,104,4,108,90,4,94,0.957446809,0,14,0,14,1,1
95613,17,El Dorado,1.13028185,0,0,0,0,0,0,0,0,0,0,0,0,0
95970,11,Colusa,32.10219266,0,0,0,0,0,0,0,0,0,0,0,0,0
95955,11,Colusa,130.9338257,1,0,1,1,0,1,1,1,0,0,0,0,0
95912,11,Colusa,152.4103476,13,0,13,8,0,8,1,1,5,0,5,1,1
95950,11,Colusa,52.85762857,0,0,0,0,0,0,0,0,0,0,0,0,0
95932,11,Colusa,142.6405751,43,3,46,24,3,27,0.888888889,0,19,0,19,1,1
95979,11,Colusa,234.2085394,0,0,0,0,0,0,0,0,0,0,0,0,0
95987,11,Colusa,316.9766845,27,0,27,19,0,19,1,1,8,0,8,1,1
96111,57,Nevada,4.772670345,5,0,5,3,0,3,1,1,2,0,2,1,1
95975,57,Nevada,9.43857017,16,2,18,8,2,10,0.8,0,8,0,8,1,1
96161,57,Nevada,262.6441769,28861,771,29632,20847,771,21618,0.964335276,0,8014,0,8014,1,1
95960,57,Nevada,41.60118966,5,0,5,5,0,5,1,1,0,0,0,0,0
95945,57,Nevada,61.14292709,2235,142,2377,1523,142,1665,0.914714715,0,712,0,712,1,1
95946,57,Nevada,44.72093069,101,4,105,46,4,50,0.92,0,55,0,55,1,1
95949,57,Nevada,136.9390553,1063,69,1132,604,69,673,0.897473997,0,459,0,459,1,1
95959,57,Nevada,311.8996089,1029,68,1097,710,68,778,0.912596401,0,319,0,319,1,1
95986,57,Nevada,10.88298707,0,0,0,0,0,0,0,0,0,0,0,0,0
91320,111,Ventura,20.17613423,93680,5213,98893,55685,1759,57444,0.969378873,0,37995,3454,41449,0.916668677,0
91360,111,Ventura,15.36269747,117272,6657,123929,65021,2440,67461,0.963830954,0,52251,4217,56468,0.925320536,0
93022,111,Ventura,3.139123451,2104,313,2417,1226,122,1348,0.909495549,0,878,191,1069,0.821328344,0
93066,111,Ventura,42.08345258,2219,251,2470,1368,78,1446,0.946058091,0,851,173,1024,0.831054688,0
93015,111,Ventura,92.78867948,1809,424,2233,795,143,938,0.847547974,0,1014,281,1295,0.783011583,0
93023,111,Ventura,266.8694621,7200,1091,8291,4045,542,4587,0.881839983,0,3155,549,3704,0.851781857,0
91361,111,Ventura,28.86761038,76223,4445,80668,48677,1841,50518,0.963557544,0,27546,2604,30150,0.913631841,0
93065,111,Ventura,29.80235947,154982,7379,162361,80017,2187,82204,0.973395455,0,74965,5192,80157,0.935227117,0
93225,111,Ventura,112.0468563,26,14,40,7,1,8,0.875,0,19,13,32,0.59375,0
93012,111,Ventura,50.13807206,53270,3305,56575,30948,910,31858,0.971435746,0,22322,2395,24717,0.903103127,0
91362,111,Ventura,18.98921168,134227,6552,140779,83094,2498,85592,0.970815029,0,51133,4054,55187,0.926540671,0
91377,111,Ventura,5.394626098,17016,1108,18124,9524,339,9863,0.965629119,0,7492,769,8261,0.906911996,0
93035,111,Ventura,5.028810245,53350,2964,56314,29296,998,30294,0.967056183,0,24054,1966,26020,0.924442736,0
93003,111,Ventura,20.78504391,157366,7209,164575,89534,2547,92081,0.972339571,0,67832,4662,72494,0.93569123,0
93001,111,Ventura,96.58556945,149538,9322,158860,89026,3720,92746,0.959890453,0,60512,5602,66114,0.915267568,0
93004,111,Ventura,7.029140955,38034,2203,40237,20782,640,21422,0.970124171,0,17252,1563,18815,0.916927983,0
93010,111,Ventura,21.9724321,97594,6361,103955,54632,1962,56594,0.965332014,0,42962,4399,47361,0.907117671,0
93021,111,Ventura,47.79169943,46072,3405,49477,25306,839,26145,0.967909734,0,20766,2566,23332,0.890022287,0
93060,111,Ventura,92.44699552,10044,1376,11420,5349,336,5685,0.940897098,0,4695,1040,5735,0.818657367,0
93064,111,Ventura,6.614522318,136,8,144,102,4,106,0.962264151,0,34,4,38,0.894736842,0
93030,111,Ventura,14.11286467,131563,6906,138469,68239,1973,70212,0.97189939,0,63324,4933,68257,0.927729024,0
93033,111,Ventura,32.19565572,97274,5449,102723,49771,1534,51305,0.97010038,0,47503,3915,51418,0.923859349,0
93036,111,Ventura,17.79916401,140822,7427,148249,72494,2237,74731,0.97006597,0,68328,5190,73518,0.929405044,0
93040,111,Ventura,372.1206808,217,61,278,58,6,64,0.90625,0,159,55,214,0.742990654,0
93041,111,Ventura,5.879139225,37533,2058,39591,18705,522,19227,0.972850679,0,18828,1536,20364,0.924572775,0
93043,111,Ventura,0.495339485,4896,109,5005,3210,32,3242,0.99012955,0,1686,77,1763,0.956324447,0
93063,111,Ventura,36.16678519,96305,5763,102068,50176,1431,51607,0.972271204,0,46129,4332,50461,0.914151523,0
93252,111,Ventura,446.5446087,3,2,5,3,2,5,0.6,0,0,0,0,0,0
93224,29,Kern,35.59377894,0,0,0,0,0,0,0,0,0,0,0,0,0
93251,29,Kern,107.1636177,1,0,1,1,0,1,1,1,0,0,0,0,0
93263,29,Kern,92.24721677,1583,86,1669,631,86,717,0.880055788,0,952,0,952,1,1
93222,29,Kern,108.5105885,4,0,4,1,0,1,1,1,3,0,3,1,1
93203,29,Kern,172.0265004,803,58,861,282,47,329,0.857142857,0,521,11,532,0.979323308,0
93243,29,Kern,163.4078003,279,66,345,158,29,187,0.844919786,0,121,37,158,0.765822785,0
93314,29,Kern,88.93788668,34900,1078,35978,21159,1078,22237,0.951522238,0,13741,0,13741,1,1
93555,29,Kern,78.08798487,3613,95,3708,1780,95,1875,0.949333333,0,1833,0,1833,1,1
93205,29,Kern,23.20730645,23,1,24,21,1,22,0.954545455,0,2,0,2,1,1
93255,29,Kern,237.9578864,2,0,2,2,0,2,1,1,0,0,0,0,0
93283,29,Kern,261.1124349,3,0,3,1,0,1,1,1,2,0,2,1,1
93554,29,Kern,135.0703096,0,0,0,0,0,0,0,0,0,0,0,0,0
93249,29,Kern,203.2456244,14,0,14,9,0,9,1,1,5,0,5,1,1
93311,29,Kern,212.9150489,101866,2426,104292,55795,2426,58221,0.958331186,0,46071,0,46071,1,1
93309,29,Kern,10.45168719,217203,5687,222890,110699,5687,116386,0.951136735,0,106504,0,106504,1,1
93528,29,Kern,2.453496432,0,0,0,0,0,0,0,0,0,0,0,0,0
93276,29,Kern,4.265091746,5,0,5,4,0,4,1,1,1,0,1,1,1
93304,29,Kern,7.473805438,175108,5257,180365,85162,5257,90419,0.941859565,0,89946,0,89946,1,1
93301,29,Kern,4.2854792,216480,7977,224457,132283,7977,140260,0.94312705,0,84197,0,84197,1,1
93305,29,Kern,5.785618254,136070,5607,141677,73977,5607,79584,0.92954614,0,62093,0,62093,1,1
93306,29,Kern,97.34327245,124110,3889,127999,65277,3889,69166,0.943772952,0,58833,0,58833,1,1
93307,29,Kern,141.2043633,156053,6388,162441,87403,6386,93789,0.931910992,0,68650,2,68652,0.999970868,0
93308,29,Kern,344.6005057,185054,6630,191684,98410,6630,105040,0.936881188,0,86644,0,86644,1,1
93312,29,Kern,14.17170732,125771,3462,129233,72851,3462,76313,0.954634204,0,52920,0,52920,1,1
93313,29,Kern,100.5619295,111762,2437,114199,55496,2437,57933,0.957934165,0,56266,0,56266,1,1
93516,29,Kern,28.5706365,2,1,3,2,1,3,0.666666667,0,0,0,0,0,0
93561,29,Kern,301.8236739,239,16,255,96,6,102,0.941176471,0,143,10,153,0.934640523,0
93501,29,Kern,222.0110139,383,50,433,121,17,138,0.876811594,0,262,33,295,0.888135593,0
93505,29,Kern,65.00211843,47,3,50,47,3,50,0.94,0,0,0,0,0,0
93518,29,Kern,324.310314,0,0,0,0,0,0,0,0,0,0,0,0,0
93519,29,Kern,137.3071743,0,0,0,0,0,0,0,0,0,0,0,0,0
93523,29,Kern,37.85228162,2,0,2,1,0,1,1,1,1,0,1,1,1
93524,29,Kern,72.44017488,0,0,0,0,0,0,0,0,0,0,0,0,0
93531,29,Kern,19.49321418,3,0,3,2,0,2,1,1,1,0,1,1,1
93560,29,Kern,167.9339856,3886,682,4568,1063,85,1148,0.925958188,0,2823,597,3420,0.825438596,0
93220,29,Kern,27.44132802,224,21,245,209,21,230,0.908695652,0,15,0,15,1,1
93206,29,Kern,163.8503686,99,13,112,51,13,64,0.796875,0,48,0,48,1,1
93215,29,Kern,145.4734929,424,26,450,119,26,145,0.820689655,0,305,0,305,1,1
93226,29,Kern,75.9556,0,0,0,0,0,0,0,0,0,0,0,0,0
93240,29,Kern,57.95204948,89,7,96,77,7,84,0.916666667,0,12,0,12,1,1
93241,29,Kern,5.048278385,4091,367,4458,2807,367,3174,0.884373031,0,1284,0,1284,1,1
93280,29,Kern,315.980383,210,21,231,89,21,110,0.809090909,0,121,0,121,1,1
93287,29,Kern,71.78613388,0,0,0,0,0,0,0,0,0,0,0,0,0
93250,29,Kern,89.57433369,135,3,138,43,3,46,0.934782609,0,92,0,92,1,1
93268,29,Kern,68.12039883,37,5,42,20,5,25,0.8,0,17,0,17,1,1
93285,29,Kern,54.39816723,57,1,58,51,1,52,0.980769231,0,6,0,6,1,1
93581,29,Kern,2.596352238,0,0,0,0,0,0,0,0,0,0,0,0,0
93522,27,Inyo,49.09328871,0,0,0,0,0,0,0,0,0,0,0,0,0
93527,27,Inyo,350.2192996,26,1,27,9,1,10,0.9,0,17,0,17,1,1
93549,27,Inyo,494.4889142,0,0,0,0,0,0,0,0,0,0,0,0,0
93526,27,Inyo,53.51871211,1,0,1,1,0,1,1,1,0,0,0,0,0
93530,27,Inyo,1.153365468,0,0,0,0,0,0,0,0,0,0,0,0,0
93513,27,Inyo,396.7614176,0,0,0,0,0,0,0,0,0,0,0,0,0
93545,27,Inyo,391.1225695,0,0,0,0,0,0,0,0,0,0,0,0,0
92328,27,Inyo,1773.564244,0,0,0,0,0,0,0,0,0,0,0,0,0
92384,27,Inyo,231.8681031,0,0,0,0,0,0,0,0,0,0,0,0,0
92389,27,Inyo,44.68991881,0,0,0,0,0,0,0,0,0,0,0,0,0
93541,51,Mono,317.3603345,0,0,0,0,0,0,0,0,0,0,0,0,0
93546,51,Mono,235.3506708,3046,154,3200,2395,154,2549,0.939584151,0,651,0,651,1,1
93517,51,Mono,337.4313237,1,0,1,1,0,1,1,1,0,0,0,0,0
93514,51,Mono,1007.102884,31,1,32,25,1,26,0.961538462,0,6,0,6,1,1
93512,51,Mono,100.8240358,0,0,0,0,0,0,0,0,0,0,0,0,0
93529,51,Mono,74.93570762,0,0,0,0,0,0,0,0,0,0,0,0,0
96107,51,Mono,95.73325127,0,0,0,0,0,0,0,0,0,0,0,0,0
96133,51,Mono,13.04979312,0,0,0,0,0,0,0,0,0,0,0,0,0
93901,53,Monterey,9.585835671,65217,1224,66441,40825,1224,42049,0.970891103,0,24392,0,24392,1,1
93933,53,Monterey,10.67445573,44649,450,45099,27314,450,27764,0.983791961,0,17335,0,17335,1,1
93954,53,Monterey,59.67733818,37,0,37,1,0,1,1,1,36,0,36,1,1
93450,53,Monterey,180.7281377,2,0,2,1,0,1,1,1,1,0,1,1,1
93907,53,Monterey,54.5262812,23171,349,23520,13750,349,14099,0.975246471,0,9421,0,9421,1,1
93953,53,Monterey,8.098667397,23016,405,23421,18861,405,19266,0.978978511,0,4155,0,4155,1,1
93426,53,Monterey,216.7654633,19,0,19,4,0,4,1,1,15,0,15,1,1
93923,53,Monterey,202.7237206,30905,496,31401,23465,496,23961,0.979299695,0,7440,0,7440,1,1
93960,53,Monterey,174.1297835,1185,36,1221,127,36,163,0.779141104,0,1058,0,1058,1,1
93921,53,Monterey,0.951998678,40730,624,41354,32234,624,32858,0.981009191,0,8496,0,8496,1,1
93950,53,Monterey,2.807916809,41206,398,41604,29816,398,30214,0.986827299,0,11390,0,11390,1,1
93451,53,Monterey,447.2254055,635,6,641,323,6,329,0.981762918,0,312,0,312,1,1
93925,53,Monterey,49.92826233,354,6,360,96,6,102,0.941176471,0,258,0,258,1,1
93927,53,Monterey,210.117655,975,24,999,62,24,86,0.720930233,0,913,0,913,1,1
93928,53,Monterey,38.39877873,0,0,0,0,0,0,0,0,0,0,0,0,0
93955,53,Monterey,26.30361598,86261,907,87168,59713,907,60620,0.985037941,0,26548,0,26548,1,1
93926,53,Monterey,67.15630196,667,28,695,113,28,141,0.80141844,0,554,0,554,1,1
93930,53,Monterey,343.2546002,384,12,396,41,12,53,0.773584906,0,343,0,343,1,1
93932,53,Monterey,75.87809115,0,0,0,0,0,0,0,0,0,0,0,0,0
93905,53,Monterey,9.239922325,40954,630,41584,26674,630,27304,0.976926458,0,14280,0,14280,1,1
93906,53,Monterey,13.26045613,70475,954,71429,45249,954,46203,0.97935199,0,25226,0,25226,1,1
93908,53,Monterey,240.9510425,6061,202,6263,4335,202,4537,0.955477188,0,1726,0,1726,1,1
93920,53,Monterey,158.4896807,11,0,11,6,0,6,1,1,5,0,5,1,1
93924,53,Monterey,187.0074309,4165,184,4349,3048,184,3232,0.943069307,0,1117,0,1117,1,1
93940,53,Monterey,35.14241092,308390,3357,311747,226206,3357,229563,0.985376563,0,82184,0,82184,1,1
93943,53,Monterey,0.203049432,1212,10,1222,975,10,985,0.989847716,0,237,0,237,1,1
93962,53,Monterey,0.12215445,443,9,452,291,9,300,0.97,0,152,0,152,1,1
95039,53,Monterey,17.38532801,1110,45,1155,678,45,723,0.937759336,0,432,0,432,1,1
95012,53,Monterey,12.91392155,4548,127,4675,2717,127,2844,0.955344585,0,1831,0,1831,1,1
93944,53,Monterey,0.336982373,0,0,0,0,0,0,0,0,0,0,0,0,0
94115,75,San Francisco,1.13638075,1886186,42895,1929081,1172705,14983,1187688,0.987384734,0,713481,27912,741393,0.962351951,0
94109,75,San Francisco,1.078681356,3281227,88779,3370006,2051069,32371,2083440,0.984462716,0,1230158,56408,1286566,0.956156155,0
94110,75,San Francisco,2.389857986,2941968,76645,3018613,1640849,23600,1664449,0.985821134,0,1301119,53045,1354164,0.960828231,0
94107,75,San Francisco,1.855766393,2457852,88157,2546009,1427004,25473,1452477,0.982462373,0,1030848,62684,1093532,0.942677489,0
94117,75,San Francisco,1.274552341,1875578,44796,1920374,1083010,12361,1095371,0.988715239,0,792568,32435,825003,0.960684991,0
94112,75,San Francisco,3.335411428,1127947,25273,1153220,771559,9639,781198,0.987661259,0,356388,15634,372022,0.957975604,0
94134,75,San Francisco,2.558899371,399221,10269,409490,259934,3181,263115,0.987910229,0,139287,7088,146375,0.95157643,0
94105,75,San Francisco,0.504523357,2000301,89366,2089667,1258550,31147,1289697,0.975849366,0,741751,58219,799970,0.927223521,0
94132,75,San Francisco,3.131990178,693315,15275,708590,513646,6670,520316,0.987180867,0,179669,8605,188274,0.954295336,0
94102,75,San Francisco,0.661505167,2833210,102515,2935725,1755812,37132,1792944,0.979289928,0,1077398,65383,1142781,0.942786063,0
94103,75,San Francisco,1.373883793,4063503,152359,4215862,2465127,51395,2516522,0.979576972,0,1598376,100964,1699340,0.940586345,0
94111,75,San Francisco,0.333612456,1342792,48360,1391152,861511,18476,879987,0.979004235,0,481281,29884,511165,0.941537468,0
94158,75,San Francisco,0.610883447,799403,41792,841195,476362,16505,492867,0.966512264,0,323041,25287,348328,0.92740463,0
94114,75,San Francisco,1.384659185,1555588,41631,1597219,871388,12204,883592,0.986188195,0,684200,29427,713627,0.958764172,0
94121,75,San Francisco,2.534590644,756731,21346,778077,463579,5183,468762,0.988943216,0,293152,16163,309315,0.947745825,0
94123,75,San Francisco,1.082710352,1843016,52861,1895877,1177352,20263,1197615,0.983080539,0,665664,32598,698262,0.953315518,0
94131,75,San Francisco,2.022059875,637171,17776,654947,363375,4127,367502,0.988770129,0,273796,13649,287445,0.952516134,0
94104,75,San Francisco,0.077551707,595064,26928,621992,375557,8946,384503,0.976733602,0,219507,17982,237489,0.924282809,0
94108,75,San Francisco,0.257976212,1326134,45792,1371926,874919,17117,892036,0.980811313,0,451215,28675,479890,0.940246723,0
94118,75,San Francisco,2.005271297,1331766,31827,1363593,828017,9414,837431,0.988758477,0,503749,22413,526162,0.957402853,0
94116,75,San Francisco,2.526099057,519488,11556,531044,345384,3606,348990,0.989667326,0,174104,7950,182054,0.956331638,0
94122,75,San Francisco,3.257229986,1011372,24281,1035653,621537,6225,627762,0.990083822,0,389835,18056,407891,0.955733272,0
94124,75,San Francisco,4.772884632,655608,21943,677551,405637,6581,412218,0.984035146,0,249971,15362,265333,0.942102942,0
94127,75,San Francisco,1.864960303,288878,6747,295625,186319,2080,188399,0.988959602,0,102559,4667,107226,0.956475109,0
94129,75,San Francisco,2.349138292,323531,12944,336475,202645,2587,205232,0.987394753,0,120886,10357,131243,0.921085315,0
94130,75,San Francisco,0.88080765,31648,3972,35620,16049,625,16674,0.962516493,0,15599,3347,18946,0.823340019,0
94133,75,San Francisco,0.657581191,1948709,59705,2008414,1263936,22924,1286860,0.982186096,0,684773,36781,721554,0.949025298,0
94188,75,San Francisco,0.087115505,0,0,0,0,0,0,0,0,0,0,0,0,0
