zipcode,county_fips,county,sqmi,completed_trips,unaccepted_requests,total_requests,Uber_completed_trips,Uber_unaccepted_requests,Uber_total_requests,Uber_share_completed,Uber_perfect,Lyft_completed_trips,Lyft_unaccepted_requests,Lyft_total_requests,Lyft_share_completed,Lyft_perfect
95030,85,Santa Clara,10.54439464,82171,1212,83383,55403,1212,56615,0.978592246,0,26768,0,26768,1,1
95032,85,Santa Clara,18.66675416,121744,1102,122846,79705,1102,80807,0.986362568,0,42039,0,42039,1,1
95318,43,Mariposa,57.11528318,0,0,0,0,0,0,0,0,0,0,0,0,0
95306,43,Mariposa,166.4938456,0,0,0,0,0,0,0,0,0,0,0,0,0
95311,43,Mariposa,242.0948623,0,0,0,0,0,0,0,0,0,0,0,0,0
93623,43,Mariposa,18.73406716,0,0,0,0,0,0,0,0,0,0,0,0,0
95389,43,Mariposa,300.7194657,2,0,2,1,0,1,1,1,1,0,1,1,1
95325,43,Mariposa,29.7590718,0,0,0,0,0,0,0,0,0,0,0,0,0
95338,43,Mariposa,340.0884827,8,0,8,2,0,2,1,1,6,0,6,1,1
95345,43,Mariposa,38.02338827,2,0,2,1,0,1,1,1,1,0,1,1,1
95336,77,San Joaquin,38.33606115,45999,1284,47283,22423,1284,23707,0.945838782,0,23576,0,23576,1,1
95203,77,San Joaquin,6.165093697,44895,619,45514,19115,619,19734,0.968632816,0,25780,0,25780,1,1
95330,77,San Joaquin,21.5254479,32464,711,33175,16409,711,17120,0.958469626,0,16055,0,16055,1,1
95212,77,San Joaquin,21.18243265,39410,648,40058,18762,648,19410,0.966615147,0,20648,0,20648,1,1
95231,77,San Joaquin,10.76419829,11969,291,12260,6010,291,6301,0.953816854,0,5959,0,5959,1,1
95376,77,San Joaquin,7.616644255,69810,1533,71343,35068,1533,36601,0.958115898,0,34742,0,34742,1,1
95209,77,San Joaquin,8.238016606,50853,709,51562,22888,709,23597,0.969953808,0,27965,0,27965,1,1
95220,77,San Joaquin,58.05896401,2374,87,2461,1205,87,1292,0.932662539,0,1169,0,1169,1,1
95377,77,San Joaquin,109.9618329,33834,635,34469,16190,635,16825,0.962258544,0,17644,0,17644,1,1
95227,77,San Joaquin,38.06015619,116,16,132,56,16,72,0.777777778,0,60,0,60,1,1
95366,77,San Joaquin,34.31957873,11775,417,12192,4527,417,4944,0.91565534,0,7248,0,7248,1,1
95202,77,San Joaquin,1.060185813,49449,643,50092,20593,643,21236,0.969721228,0,28856,0,28856,1,1
95204,77,San Joaquin,5.301971158,77951,1106,79057,32931,1106,34037,0.967505949,0,45020,0,45020,1,1
95205,77,San Joaquin,8.991318403,55694,933,56627,24699,933,25632,0.963600187,0,30995,0,30995,1,1
95206,77,San Joaquin,133.2407045,99437,1397,100834,39119,1397,40516,0.965519795,0,60318,0,60318,1,1
95207,77,San Joaquin,7.245905962,176267,2117,178384,77101,2117,79218,0.973276276,0,99166,0,99166,1,1
95210,77,San Joaquin,7.604208615,78072,1168,79240,32543,1168,33711,0.965352556,0,45529,0,45529,1,1
95211,77,San Joaquin,0.098663492,4726,45,4771,2944,45,2989,0.984944798,0,1782,0,1782,1,1
95215,77,San Joaquin,92.8192458,22073,471,22544,10943,471,11414,0.958734887,0,11130,0,11130,1,1
95219,77,San Joaquin,116.8611019,49132,841,49973,23759,841,24600,0.965813008,0,25373,0,25373,1,1
95337,77,San Joaquin,45.42552816,39756,961,40717,18436,961,19397,0.950456256,0,21320,0,21320,1,1
95240,77,San Joaquin,68.18706587,55167,1595,56762,29828,1595,31423,0.949241002,0,25339,0,25339,1,1
95236,77,San Joaquin,127.5215263,207,21,228,101,21,122,0.827868852,0,106,0,106,1,1
95237,77,San Joaquin,7.414840009,564,33,597,260,33,293,0.887372014,0,304,0,304,1,1
95242,77,San Joaquin,90.86999357,24539,598,25137,13978,598,14576,0.958973655,0,10561,0,10561,1,1
95686,77,San Joaquin,32.3938719,288,19,307,108,19,127,0.850393701,0,180,0,180,1,1
95258,77,San Joaquin,3.218998346,2222,99,2321,1316,99,1415,0.930035336,0,906,0,906,1,1
95304,77,San Joaquin,153.4717705,37463,838,38301,17949,838,18787,0.955394688,0,19514,0,19514,1,1
95320,77,San Joaquin,88.72914723,2721,151,2872,769,151,920,0.835869565,0,1952,0,1952,1,1
95253,77,San Joaquin,1.683329223,0,0,0,0,0,0,0,0,0,0,0,0,0
95404,97,Sonoma,75.38612158,115429,1231,116660,60771,1231,62002,0.980145802,0,54658,0,54658,1,1
95405,97,Sonoma,5.016276149,55315,629,55944,28764,629,29393,0.978600347,0,26551,0,26551,1,1
95465,97,Sonoma,48.07880372,328,10,338,88,10,98,0.897959184,0,240,0,240,1,1
95401,97,Sonoma,20.90438559,154351,1705,156056,83308,1705,85013,0.979944244,0,71043,0,71043,1,1
95407,97,Sonoma,21.6111132,138184,1988,140172,73390,1988,75378,0.973626257,0,64794,0,64794,1,1
95480,97,Sonoma,5.390863514,0,0,0,0,0,0,0,0,0,0,0,0,0
95409,97,Sonoma,34.97853754,37380,477,37857,20820,477,21297,0.977602479,0,16560,0,16560,1,1
95452,97,Sonoma,16.55532123,3000,95,3095,2063,95,2158,0.955977757,0,937,0,937,1,1
95497,97,Sonoma,15.23640553,0,0,0,0,0,0,0,0,0,0,0,0,0
95446,97,Sonoma,31.04590959,861,60,921,405,60,465,0.870967742,0,456,0,456,1,1
95492,97,Sonoma,19.78762125,40229,493,40722,21202,493,21695,0.97727587,0,19027,0,19027,1,1
95472,97,Sonoma,70.26434365,29775,571,30346,15070,571,15641,0.963493383,0,14705,0,14705,1,1
95436,97,Sonoma,21.253387,3617,152,3769,2087,152,2239,0.93211255,0,1530,0,1530,1,1
95403,97,Sonoma,21.54047391,124979,1325,126304,66614,1325,67939,0.980497211,0,58365,0,58365,1,1
